Pool code,5,6,8,10,11,12,14,15,16,18,20,21,22,24,25,26,27,31,36,8,14,10,10,16,17,15,20,24,22,21,6,5,11,12,25,18,27,10,16,8,24,15,14,26,18,4,2,9,8,3,6,7,5,6,17,1,2,3,4,5
Type,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,-6,2,2,2,2,2
2010,8.26775,0.492270138,0.35968466,0.249862588,0.222907707,0.306741573,0.193273769,20.42657524,0.186622499,0.105677155,0.654767517,0.901812289,0.686490523,0.80423774,17.86585366,0.026594927,9.336666667,0.563967236,2.229429806,0.772477532,1.233560612,0.665472494,1.664688805,1.239571757,0.29388852,1.816697982,1.797999841,0.270150616,1.678312694,1.638402983,0.520763995,15.92494053,0.060531593,1.569393661,5.302861632,0.382508762,6.292638334,0.23,0.25,0.91,0.5,1.06,0.077,0.105,0.56,0.354137745,0.267396759,0.249805642,0.597890637,1.906769487,0.22273702,0.934021761,2.41734873,11.51113001,0.033620468,8.098499457,0.641413436,10.57869788,33.70873102,10.60847274
2011,7.1395,0.550805533,0.229416402,0.159554308,0.141923837,0.29241573,0.251748989,12.91422591,0.159672642,2.245721614,0.599222891,0.707758836,0.714671285,0.742827825,14.90609756,0.042986164,2.773333333,0.472599715,1.543637251,0.564494415,1.450108347,0.634105761,2.561136364,1.446951669,0.352666224,1.487060966,1.766234846,0.256643648,3.112226368,2.216004272,0.262283599,13.09589941,0.050200076,2.009663574,1.712408105,1.362064135,6.731386572,0.21,0.24,0.8,0.49,0.92,0.099,0.108,0.62,0.312572034,0.291909832,0.583657263,0.311584143,2.159389567,0.227618418,1.071509168,1.524157044,11.60826759,0.031947302,8.086035411,0.641359305,11.43773671,33.98821767,11.45779459
2012,6.47675,0.595703824,0.178737545,0.131004899,0.117009357,0.144719101,0.315731625,3.331833273,0.118155365,0.001121751,0.477831653,0.664476797,0.603309984,0.805023099,12.4202439,0.028285934,9.098666667,0.444565527,1.620621776,0.789870102,1.48736228,0.664564119,3.037308069,1.374860779,0.227575213,1.392343781,1.836993597,0.334519934,2.779342317,1.226672624,1.774247584,56.4828596,0.16943879,1.57319366,,0.457946573,7.227671229,0.2,0.22,0.83,0.46,1.31,0.18,0.115,0.115,0.222298288,0.211665198,0.612977566,0.376600339,1.886944484,0.14911067,1.216018537,2.216323326,11.62552224,0.01291278,8.096818924,0.57287564,11.146993,34.09529813,11.16274865
2013,8.9715,0.617737998,0.113109603,0.120405066,0.089622849,0.099910112,0.195141605,7.455669433,0.197737075,2.017657319,0.590279629,0.50066356,0.544569748,0.92496624,12.31,0.038435819,8.373,0.585156695,2.241244946,0.605574355,1.358662544,0.624308291,1.752267102,1.544914989,0.284845796,1.18791281,1.904092085,0.406301749,5.20897854,1.883718708,1.880816256,53.59269438,0.097928574,1.533093347,3.796003951,0.248579024,10.34084968,0.21,0.22,0.81,0.43,1.42,0.21,0.109,0.72,0.222755485,0.177870148,1.052087961,0.275065556,1.690111293,0.130632298,1.441960508,2.144073903,11.6523906,0.010366337,8.092639605,0.609958754,10.60815763,33.73958047,10.64042338
2014,8.524,0.550520749,0.143328589,0.133063687,0.078312399,0.286224719,0.267317094,0.959036449,0.132694206,0.000896033,0.555840107,0.502916982,0.558802473,0.859919154,12.05341463,0.075964643,8.636333333,0.611175214,2.623228775,0.638212713,1.341436911,0.581137322,5.369775137,1.925559681,0.495842682,1.884591887,2.028485648,0.325665491,3.546232975,4.886020445,1.87782067,43.46088497,0.257265297,1.284259923,0.971094132,0.186186803,42.22783277,0.23,0.22,0.72,0.42,0.66,0.21,0.116,0.43,0.217964109,0.200406136,1.262438916,0.276473083,1.80855298,0.171929941,1.701037679,2.147935335,11.81638174,0.017663553,8.088227669,0.626026893,12.58849796,34.00796032,12.61659416
2015,10.678,0.436965012,0.151827439,0.127452503,0.110196845,0.746157303,0.081523938,19.0174197,0.149444011,1.736976744,0.435430418,0.476396662,0.562153861,0.78634506,7.544634146,0.162609531,8.972333333,0.597051282,2.060769552,0.856020085,1.252928415,0.59270983,6.963386578,1.960754982,0.673682914,3.034384978,1.798003304,0.300070971,1.771241736,1.843340262,2.469539567,42.39596438,0.146856055,0.655273319,1.342941391,0.241715381,7.254655193,0.27,0.2,0.72,0.44,1.23,0.21,0.123,0.4,0.210571735,0.18880962,0.778431808,0.297181089,1.513405942,0.132068003,1.675146081,1.800184758,11.73894236,0.004357115,8.085949183,0.57575952,11.51757975,34.00315126,11.53731712
2016,13.44375,0.449227014,0.078889741,0.236163221,0.162770754,0.768404494,0.271483479,10.22351498,0.199438815,0.000882353,0.41450252,0.447571548,0.550624073,0.794858742,5.46195122,0.069811683,14.06866667,0.68514245,2.251830475,0.60797584,1.442817477,0.614914029,7.134252613,1.850199263,0.782195599,2.191163418,1.730807855,0.333190641,1.33111153,2.274195749,2.248905221,48.87039661,0.123714228,0.932618668,4.050963654,0.633179563,27.53941494,0.27,0.183,0.81,0.49,2.2,0.23,0.139,0.028,0.191056897,0.187769467,0.649961128,0.233167515,1.353908219,0.129500624,1.900402982,2.309182448,11.80947513,0.00420358,8.08198301,0.585110079,12.16162248,33.91299979,12.18853045
2017,10.581,0.650585842,0.022346436,0.154375672,0.205188877,0.590235955,0.156936109,1.195904006,0.190982073,0.067373461,0.399065193,0.249700121,0.470239785,0.797949538,4.477804878,0.368478094,6.755,0.793198006,1.690796041,0.31954299,1.338912416,0.664360198,3.739854548,1.78993219,0.201954162,2.014743006,1.62547225,0.293942705,1.647848958,2.541944065,2.540042112,16.55187984,0.05281085,0.57082263,3.26006121,0.436487185,32.32500441,0.23,0.186,0.97,0.55,1.42,0.191,0.131,0.55,0.212227272,0.147086323,0.369559236,0.171154011,1.158759223,0.1008653,1.904110274,2.214710197,11.7780945,0.010675606,8.075930198,0.545610999,11.92631654,34.02208201,11.94874938
2018,10.690825,0.691358015,0.021490529,0.153992831,0.155461737,0.363333708,0.191390678,2.789703356,0.213720447,0.054035568,0.350518981,0.26547524,0.458654167,0.74271704,5.182268293,0.031867794,8.3576,0.759451567,3.166498118,0.2077648,1.201830085,0.704991426,5.911298102,1.550907544,0.17181175,2.249489931,1.363181625,0.220696414,3.212621722,1.936476934,2.461046658,75.24565634,0.346759093,0.789251802,4.280172876,0.576950613,46.64353266,0.21,0.191,1.09,0.59,1.48,0.22,0.139,0.57,0.235818976,0.142513474,0.546920974,0.118949108,0.830954749,0.143094281,1.532636479,1.847231389,11.77336328,0.003617555,8.078804175,0.549440876,11.6117959,33.87891293,11.6577427
2019,13.67167,0.634598617,0.009980171,0.20291453,0.124347714,1.41318764,0.137899014,3.470362071,0.188628943,0.667236662,0.268320785,0.252451981,0.433101547,0.586570967,5.803065854,0.031436933,20.29806667,0.870852707,2.044502788,0.127060365,1.036685525,0.746772026,4.848360838,1.315524801,0.302931243,2.116514703,1.222898638,0.219705077,2.580555274,1.567919781,2.253055159,43.09992549,0.417516971,1.495393599,7.909676342,0.206388635,30.68462171,0.2,0.197,0.9,0.55,1.22,0.185,0.115,0.56,0.214865759,0.195610257,0.67007895,0.137727217,0.654343098,0.094665355,1.932537261,1.558044853,12.06418211,0.003495011,8.073872725,0.493957131,12.08074323,33.87721443,12.11166374
2020,9.5928825,0.515157689,0.00791061,0.179615247,0.09487053,1.299474157,0.255205951,1.831589534,0.213927072,0.075211149,0.221203861,0.278564606,0.469749397,0.492886176,6.866856098,0.115797002,27.44863333,0.818877208,2.13614036,0.09937052,0.996305663,0.99409093,6.573865929,1.233684286,,3.000899104,1.25723309,0.209307303,3.492049639,1.999284499,1.402479706,19.37681278,0.133977228,0.633682542,10.23841778,0.17359879,18.58036449,0.175,0.25,0.67,0.42,1.88,0.189,0.102,0.53,0.199529974,0.292057815,0.613758599,0.114240023,0.45512719,0.172525915,2.479395587,1.865241705,12.06084283,0.004254308,8.066485087,0.496939847,12.12160099,33.93892797,12.15987579
2021,8.772335,0.420054109,0.005711924,0.157522237,0.092406111,0.981585506,0.774060764,1.493280765,0.266231333,1.61E-05,0.175512896,0.171048051,0.199908933,0.486306317,6.86082439,0.418535204,19.05856667,0.046422365,1.485751987,0.192409853,0.937908841,1.300125133,8.457493701,1.278872983,0.183868715,1.516247277,1.321545691,0.354312879,2.996780756,2.514339097,0.984607349,36.47435285,0.46630358,0.689768933,3.452183736,0.319817717,69.47218633,0.139,0.27,0.52,0.26,1.9,0.185,0.087,0.084,0.193468341,0.159476288,0.008261494,0.114240023,0.252727246,0.180660161,0.470665953,1.66967912,11.99870014,0.004511388,8.07128946,0.492001976,11.42239618,33.61659749,11.43283979
2022,,,,,,,,,,,,,,,,,,,,0.23145217,1.049175903,1.547249386,6.410620333,1.206947356,0.399386963,1.324000323,1.257008003,0.326679359,1.713817386,2.726627647,1.51043545,66.51516742,0.52126688,1.721729433,6.054462608,0.421050993,108.6151463,0.101,0.3,0.46,0.148,1.4,0.23,0.085,0.025,0.165473292,0.150025454,0.000139827,0.114240023,0.163259576,0.221970693,0.353720721,1.812078121,12.27768185,0.004511388,8.06252861,0.56495565,12.65496616,33.5948267,12.68693435
