,year,P_copernicus,P_copernicus_completed,P_schelde,month,PO4_y_copernicus_1,PO4_y_copernicus_2,PO4_y_copernicus_3,PO4_y_copernicus_4,PO4_y_schelde_1,PO4_y_schelde_2,PO4_y_schelde_3,PO4_y_schelde_4
118,2000,0.247040958,0.247040958,0.0245,10,0.405270725,0.881054145,0.76210829,0.643162435,0.524319066,0.904863813,0.809727626,0.71459144
119,2000,0.247040958,0.247040958,0.0245,11,0.405270725,0.881054145,0.76210829,0.643162435,0.524319066,0.904863813,0.809727626,0.71459144
120,2000,0.247040958,0.247040958,0.0245,12,0.405270725,0.881054145,0.76210829,0.643162435,0.524319066,0.904863813,0.809727626,0.71459144
121,2001,0.260071335,0.260071335,0.020666667,1,0.42664706,0.885329412,0.770658824,0.655988236,0.44228275,0.88845655,0.7769131,0.66536965
122,2001,0.260071335,0.260071335,0.020666667,2,0.42664706,0.885329412,0.770658824,0.655988236,0.44228275,0.88845655,0.7769131,0.66536965
123,2001,0.260071335,0.260071335,0.020666667,3,0.42664706,0.885329412,0.770658824,0.655988236,0.44228275,0.88845655,0.7769131,0.66536965
124,2001,0.260071335,0.260071335,0.020666667,4,0.42664706,0.885329412,0.770658824,0.655988236,0.44228275,0.88845655,0.7769131,0.66536965
125,2001,0.260071335,0.260071335,0.020666667,5,0.42664706,0.885329412,0.770658824,0.655988236,0.44228275,0.88845655,0.7769131,0.66536965
126,2001,0.260071335,0.260071335,0.020666667,6,0.42664706,0.885329412,0.770658824,0.655988236,0.44228275,0.88845655,0.7769131,0.66536965
127,2001,0.260071335,0.260071335,0.020666667,7,0.42664706,0.885329412,0.770658824,0.655988236,0.44228275,0.88845655,0.7769131,0.66536965
128,2001,0.260071335,0.260071335,0.020666667,8,0.42664706,0.885329412,0.770658824,0.655988236,0.44228275,0.88845655,0.7769131,0.66536965
129,2001,0.260071335,0.260071335,0.020666667,9,0.42664706,0.885329412,0.770658824,0.655988236,0.44228275,0.88845655,0.7769131,0.66536965
130,2001,0.260071335,0.260071335,0.020666667,10,0.42664706,0.885329412,0.770658824,0.655988236,0.44228275,0.88845655,0.7769131,0.66536965
131,2001,0.260071335,0.260071335,0.020666667,11,0.42664706,0.885329412,0.770658824,0.655988236,0.44228275,0.88845655,0.7769131,0.66536965
132,2001,0.260071335,0.260071335,0.020666667,12,0.42664706,0.885329412,0.770658824,0.655988236,0.44228275,0.88845655,0.7769131,0.66536965
133,2002,0.258479795,0.258479795,0.026727273,1,0.424036138,0.884807228,0.769614455,0.654421683,0.571984436,0.914396887,0.828793774,0.743190661
134,2002,0.258479795,0.258479795,0.026727273,2,0.424036138,0.884807228,0.769614455,0.654421683,0.571984436,0.914396887,0.828793774,0.743190661
135,2002,0.258479795,0.258479795,0.026727273,3,0.424036138,0.884807228,0.769614455,0.654421683,0.571984436,0.914396887,0.828793774,0.743190661
136,2002,0.258479795,0.258479795,0.026727273,4,0.424036138,0.884807228,0.769614455,0.654421683,0.571984436,0.914396887,0.828793774,0.743190661
137,2002,0.258479795,0.258479795,0.026727273,5,0.424036138,0.884807228,0.769614455,0.654421683,0.571984436,0.914396887,0.828793774,0.743190661
138,2002,0.258479795,0.258479795,0.026727273,6,0.424036138,0.884807228,0.769614455,0.654421683,0.571984436,0.914396887,0.828793774,0.743190661
139,2002,0.258479795,0.258479795,0.026727273,7,0.424036138,0.884807228,0.769614455,0.654421683,0.571984436,0.914396887,0.828793774,0.743190661
140,2002,0.258479795,0.258479795,0.026727273,8,0.424036138,0.884807228,0.769614455,0.654421683,0.571984436,0.914396887,0.828793774,0.743190661
141,2002,0.258479795,0.258479795,0.026727273,9,0.424036138,0.884807228,0.769614455,0.654421683,0.571984436,0.914396887,0.828793774,0.743190661
142,2002,0.258479795,0.258479795,0.026727273,10,0.424036138,0.884807228,0.769614455,0.654421683,0.571984436,0.914396887,0.828793774,0.743190661
