EwEVersion,"6.6.8.18072 (compiled 04/11/2022)"
Date,"04/03/2024 13:31:46"
ModelName,EMBENS_SP_DL
EcosimScenario,EMBENS_DL_test_1
TimeSeries,time_series_1991-2021_raja_incl_1991_2018
StartYear,1991

Timestep,"catch (predicted)Sharks_C_rel","catch (observed) Sharks_C_rel","catch (predicted)Rays_C_rel","catch (observed) Rays_C_rel","catch (predicted)Cod.adult_C_rel","catch (observed) Cod.adult_C_rel","catch (predicted)Whiting.adult_C_rel","catch (observed) Whiting.adult_C_rel","catch (predicted)OtherGadoids_C_rel","catch (observed) OtherGadoids_C_rel","catch (predicted)DemersalFish_C_rel","catch (observed) DemersalFish_C_rel","catch (predicted)Herring.adult_C_rel","catch (observed) Herring.adult_C_rel","catch (predicted)Sprat_C_rel","catch (observed) Sprat_C_rel","catch (predicted)Mackerel_C_rel","catch (observed) Mackerel_C_rel","catch (predicted)HorseMackerel_C_rel","catch (observed) HorseMackerel_C_rel","catch (predicted)Sandeels_C_rel","catch (observed) Sandeels_C_rel","catch (predicted)Plaice.adult_C_rel","catch (observed) Plaice.adult_C_rel","catch (predicted)Dab_C_rel","catch (observed) Dab_C_rel","catch (predicted)OtherFlatfish_C_rel","catch (observed) OtherFlatfish_C_rel","catch (predicted)Sole.adult_C_rel","catch (observed) Sole.adult_C_rel","catch (predicted)SeaBass_C_rel","catch (observed) SeaBass_C_rel","catch (predicted)PelagicFish_C_rel","catch (observed) PelagicFish_C_rel","catch (predicted)SquidCuttlefish_C_rel","catch (observed) SquidCuttlefish_C_rel","catch (predicted)LargeCrabsShrimps _C_rel","catch (observed) LargeCrabsShrimps _C_rel","catch (predicted)Crangon.com_C_rel","catch (observed) Crangon.com_C_rel",
26,0.01299498,,0.02371268,,0.1514578,,0.229111,,0.01906119,,0.09409624,,0.5816756,,0.4771722,,0.2043535,,0.06367902,,2.173805,,0.6241373,,0.08586589,,0.06138141,,0.2552419,,0.0007562682,,0.02570136,,0.006893823,,0.04368449,,0.3908428,,
27,0.01300805,,0.02425995,,0.1528426,,0.2308329,,0.0187983,,0.09665748,,0.5225105,,0.4143024,,0.2009479,,0.06474974,,2.068332,,0.6468998,,0.08814146,,0.06218643,,0.2679686,,0.0007605228,,0.0226922,,0.0065134,,0.04667616,,0.361742,,
28,0.01301969,,0.02485012,,0.1546979,,0.232263,,0.01842169,,0.09975767,,0.4725119,,0.369757,,0.1977587,,0.06556174,,1.95729,,0.6677267,,0.0904674,,0.06309129,,0.2793871,,0.0007648053,,0.02018893,,0.006117172,,0.04959957,,0.3309474,,
29,0.01303208,,0.0254735,,0.1570537,,0.2336315,,0.01796683,,0.1032294,,0.4297808,,0.3405925,,0.1948211,,0.06606849,,1.851955,,0.6862547,,0.09284423,,0.06413065,,0.2892894,,0.0007703375,,0.01818186,,0.005733443,,0.05241667,,0.3102061,,
30,0.01304655,0.004429684,0.02612294,0.05591715,0.1599311,0.4979273,0.2351833,0.4704321,0.01747795,0.02530564,0.1069155,,0.3933349,0.679612,0.3235822,0.1041987,0.1921767,0.266813,0.0662287,0.08769891,1.762908,19.18782,0.7022778,0.941449,0.0952709,0.09027887,0.06531603,0.1008258,0.297636,0.3263619,0.0007783006,0.0006654929,0.01663094,0.02717906,0.00538602,0.003376336,0.05508782,0.02980915,0.3051432,0.143566,
31,0.01306391,,0.02679566,,0.1633156,,0.2370635,,0.01700195,,0.110718,,0.3627154,,0.3157806,,0.189876,,0.06600915,,1.6981,,0.715833,,0.09774541,,0.06663071,,0.3044284,,0.0007893977,,0.01548054,,0.005091925,,0.05757081,,0.316512,,
32,0.01308238,,0.02748845,,0.1669465,,0.2386776,,0.01658211,,0.1145841,,0.3374857,,0.3147604,,0.1879633,,0.06538781,,1.661997,,0.7270254,,0.1002659,,0.06803103,,0.3098211,,0.0008015899,,0.01465569,,0.004855213,,0.05982213,,0.3270043,,
33,0.01309839,,0.02817965,,0.1704735,,0.2392723,,0.01625122,,0.1183004,,0.3171988,,0.3184573,,0.186456,,0.06435397,,1.654919,,0.7361684,,0.1028317,,0.069484,,0.3141387,,0.0008111211,,0.01406955,,0.004663501,,0.06179013,,0.3226244,,
34,0.01311789,,0.02886203,,0.1748889,,0.2416008,,0.01602662,,0.1216127,,0.3012321,,0.3246905,,0.185399,,0.06293011,,1.671881,,0.7437016,,0.1054472,,0.07101884,,0.3177361,,0.0008205167,,0.01367664,,0.004498353,,0.06338316,,0.3274209,,
35,0.01314702,,0.02954885,,0.1798905,,0.2443755,,0.01591574,,0.1244614,,0.2890131,,0.3318226,,0.1848165,,0.06119004,,1.707054,,0.7499894,,0.1081183,,0.07267279,,0.3209435,,0.0008321364,,0.01344237,,0.004344549,,0.06448598,,0.3137372,,
36,0.01318163,,0.03024112,,0.1849817,,0.2476096,,0.01592382,,0.1271444,,0.2851664,,0.339418,,0.1845937,,0.05925482,,1.758674,,0.7553117,,0.1108477,,0.07446446,,0.3240314,,0.0008461134,,0.01334431,,0.00421115,,0.06505001,,0.2885004,,
37,0.01322156,,0.0309485,,0.1845889,,0.2518747,,0.01604706,,0.1300789,,0.2904131,,0.1863054,,0.1904311,,0.05726826,,1.486705,,0.7599117,,0.1136395,,0.07640857,,0.3625491,,0.0007761971,,0.01336305,,0.004104152,,0.06504287,,0.2625184,,
38,0.01326541,,0.03167774,,0.1896636,,0.2573749,,0.01627453,,0.1336858,,0.302536,,0.1999815,,0.1904815,,0.0553707,,1.555242,,0.7639329,,0.1164933,,0.07849929,,0.3650801,,0.000795559,,0.01347755,,0.004027315,,0.06446422,,0.2459721,,
39,0.01331116,,0.03243624,,0.1946089,,0.264265,,0.0165897,,0.1383309,,0.3179916,,0.212911,,0.1906131,,0.05368062,,1.628425,,0.7673843,,0.1194057,,0.08070783,,0.3685874,,0.0008176793,,0.01366933,,0.003981517,,0.06333638,,0.2437857,,
40,0.01335544,,0.03322991,,0.1994528,,0.2721687,,0.01697301,,0.1442831,,0.3332102,,0.2250585,,0.1907657,,0.05228337,,1.703112,,0.7701694,,0.1223716,,0.082977,,0.3732927,,0.0008412084,,0.01391627,,0.003964582,,0.061712,,0.2559521,,
41,0.0133923,,0.03404911,,0.2034673,,0.2785793,,0.01740288,,0.151531,,0.345447,,0.2363601,,0.1908932,,0.05122197,,1.776119,,0.7719926,,0.1253857,,0.08522485,,0.3793762,,0.0008624804,,0.01417838,,0.003964968,,0.05966545,,0.2571477,,
42,0.0134225,0.004669127,0.03487217,0.05598307,0.2081464,0.379613,0.2881517,0.4459728,0.01785591,0.01993502,0.1597125,,0.3531792,0.7460232,0.24659,0.479295,0.1909773,0.3447087,0.05050087,0.04056396,1.843429,5.270428,0.7732261,0.8636979,0.1284467,0.06522477,0.08744626,0.0974367,0.386852,0.332023,0.0008817887,0.000909507,0.01444161,0.01415576,0.00397147,0.004099837,0.05725785,0.05415927,0.2718849,0.1637002,
43,0.01345635,,0.03571301,,0.2136739,,0.2984473,,0.0183063,,0.168411,,0.3560173,,0.2551797,,0.1910951,,0.05012026,,1.899308,,0.7742192,,0.1315558,,0.08966762,,0.3956285,,0.0009017524,,0.01470278,,0.003967174,,0.05448562,,0.2769244,,
44,0.01349073,,0.03656432,,0.2199296,,0.3092356,,0.01873417,,0.1773847,,0.3545528,,0.2620487,,0.1911943,,0.05006184,,1.941819,,0.7751631,,0.1347081,,0.09188844,,0.4054003,,0.0009218463,,0.0149578,,0.003954828,,0.05155015,,0.2687133,,
45,0.01352531,,0.03742133,,0.2268678,,0.3204821,,0.01912057,,0.1863032,,0.3498636,,0.2671279,,0.1912464,,0.05029418,,1.969364,,0.7762239,,0.1379022,,0.09411833,,0.4156578,,0.000942148,,0.01520297,,0.003936754,,0.04865198,,0.2533153,,
46,0.01355988,,0.03827915,,0.2344223,,0.3321099,,0.01944703,,0.1947841,,0.3431491,,0.270395,,0.1912303,,0.05077858,,1.980888,,0.7774925,,0.1411349,,0.09636153,,0.4257065,,0.0009627073,,0.01543232,,0.003914649,,0.04596915,,0.2406923,,
47,0.01359415,,0.03913285,,0.2423887,,0.3437694,,0.019696,,0.2024127,,0.3355486,,0.2718745,,0.1911325,,0.05147466,,1.975892,,0.7790079,,0.1444006,,0.09860916,,0.4346678,,0.0009833637,,0.01563741,,0.003888353,,0.04362908,,0.235199,,
48,0.01362772,,0.03997924,,0.2503396,,0.3548264,,0.01985199,,0.2087837,,0.3281992,,0.2716504,,0.1909479,,0.05234515,,1.954587,,0.7807462,,0.1476929,,0.100838,,0.4414632,,0.001003829,,0.01580958,,0.003856418,,0.04170158,,0.2401321,,
49,0.01365888,,0.04081091,,0.239926,,0.3310712,,0.01990331,,0.2134151,,0.300673,,0.4020093,,0.1848383,,0.05335443,,3.509558,,0.7826237,,0.151006,,0.1030061,,0.4947974,,0.001122345,,0.0167937,,0.003814563,,0.0402093,,0.2451942,,
50,0.01368594,,0.04161364,,0.2470768,,0.3377359,,0.01984229,,0.215755,,0.2989945,,0.3866413,,0.1845487,,0.05446617,,3.361005,,0.7845962,,0.1543352,,0.1050942,,0.4905387,,0.001138938,,0.01683996,,0.003756415,,0.03913143,,0.2444627,,
51,0.01371209,,0.04238002,,0.2537933,,0.3432539,,0.01966654,,0.2151034,,0.3017157,,0.3720203,,0.1841147,,0.05565111,,3.209424,,0.7866021,,0.1576808,,0.107133,,0.4789928,,0.0011538,,0.01683284,,0.003675641,,0.03840302,,0.2439537,,
52,0.0137405,,0.04311184,,0.2599849,,0.3464887,,0.01938229,,0.2108607,,0.3094043,,0.3583066,,0.1835398,,0.05688824,,3.061928,,0.7885585,,0.161044,,0.1091574,,0.4578304,,0.001168407,,0.01678674,,0.003569957,,0.03796585,,0.2359176,,
53,0.01376945,,0.04380323,,0.2656245,,0.3476125,,0.01900781,,0.2028984,,0.3217391,,0.3459636,,0.1827971,,0.05815168,,2.928538,,0.7903311,,0.1644252,,0.1111914,,0.438879,,0.001183001,,0.01672154,,0.003446548,,0.03780729,,0.2222355,,
