EwEVersion,"6.6.8.18072 (compiled 04/11/2022)"
Date,"04/03/2024 13:31:46"
ModelName,EMBENS_SP_DL
EcosimScenario,EMBENS_DL_test_1
TimeSeries,time_series_1991-2021_raja_incl_1991_2018
StartYear,1991

Timestep,"biomass (predicted) Cod.adult_B_rel","biomass (observed) Cod.adult_B_rel","biomass (predicted) Herring.adult_B_rel","biomass (observed) Herring.adult_B_rel","biomass (predicted) Whiting.adult_B_rel","biomass (observed) Whiting.adult_B_rel","biomass (predicted) Mackerel_B_rel","biomass (observed) Mackerel_B_rel","biomass (predicted) Sprat_B_rel","biomass (observed) Sprat_B_rel","biomass (predicted) Plaice.adult_B_rel","biomass (observed) Plaice.adult_B_rel","biomass (predicted) Sole.adult_B_rel","biomass (observed) Sole.adult_B_rel","biomass (predicted) OtherFlatfish_B_rel","biomass (observed) OtherFlatfish_B_rel","biomass (predicted) Dab_B_rel","biomass (observed) Dab_B_rel","biomass (predicted) Rays_B_rel","biomass (observed) Rays_B_rel","biomass (predicted) Sharks_B_rel","biomass (observed) Sharks_B_rel","biomass (predicted) OtherGadoids_B_rel","biomass (observed) OtherGadoids_B_rel","biomass (predicted) DemersalFish_B_rel","biomass (observed) DemersalFish_B_rel","biomass (predicted) SeaBass_B_rel","biomass (observed) SeaBass_B_rel","biomass (predicted) HorseMackerel_B_rel","biomass (observed) HorseMackerel_B_rel","biomass (predicted) PelagicFish_B_rel","biomass (observed) PelagicFish_B_rel","biomass (predicted) Sandeels_B_rel","biomass (observed) Sandeels_B_rel",
48,0.2635154,,0.7632539,,0.6570858,,0.5967124,,0.3482697,,0.7622296,,0.7482427,,0.202579,,11.66854,,1.115356,,0.01434285,,0.4179412,,1.884005,,0.007604765,,1.609131,,0.04391551,,6.515291,,
49,0.2726432,,0.7516825,,0.6756555,,0.5962526,,0.3350077,,0.7640626,,0.749693,,0.2069347,,11.93029,,1.138559,,0.01437565,,0.4190216,,1.925798,,0.007740307,,1.640157,,0.04419396,,6.267068,,
50,0.2807691,,0.7474861,,0.689257,,0.5953185,,0.322201,,0.7659883,,0.7432404,,0.2111296,,12.19332,,1.160953,,0.01440412,,0.4177369,,1.946913,,0.007854743,,1.674333,,0.04431567,,6.001794,,
51,0.2884015,,0.7542893,,0.7005183,,0.5939184,,0.3100169,,0.7679467,,0.7257466,,0.2152255,,12.45763,,1.182334,,0.01443164,,0.4140368,,1.941033,,0.007957242,,1.710759,,0.04429696,,5.731114,,
52,0.2954374,,0.7735108,,0.7071198,,0.5920638,,0.2985888,,0.7698567,,0.6936824,,0.2192924,,12.72334,,1.202751,,0.01446155,,0.4080526,,1.902748,,0.008057982,,1.748789,,0.04417562,,5.467729,,
53,0.3018461,,0.8043477,,0.7094133,,0.5896682,,0.288303,,0.7715873,,0.6649681,,0.2233785,,12.99048,,1.222039,,0.01449202,,0.4001687,,1.830898,,0.00815863,,1.787629,,0.04400405,,5.229533,,
54,0.3077357,0.2098409,0.844608,0.4282297,0.7081234,0.6102579,0.5867339,0.798079,0.2794209,0.2401866,0.773009,0.7302789,0.6415684,,0.2275219,,13.25907,,1.240161,,0.01452252,0.002741545,0.3909191,0.8439865,1.727231,0.7449287,0.008263194,0.0036743,1.826544,2.519868,0.04383494,0.1034465,5.03,18.88994,
55,0.3132067,,0.8914086,,0.7035432,,0.58332,,0.272102,,0.7739995,,0.6221855,,0.2317302,,13.52895,,1.257056,,0.01455225,,0.3809294,,1.597219,,0.008371538,,1.864764,,0.04371051,,4.877563,,
56,0.3181714,,0.9418448,,0.6962096,,0.5795439,,0.2666332,,0.774439,,0.6058389,,0.2359729,,13.7998,,1.272633,,0.01457888,,0.3708771,,1.449897,,0.008480729,,1.901474,,0.04366013,,4.775918,,
57,0.3223657,,0.9933518,,0.6852517,,0.5755523,,0.2629981,,0.7742308,,0.5917609,,0.240184,,14.07134,,1.286748,,0.01460196,,0.3613407,,1.296709,,0.008582828,,1.935693,,0.04369489,,4.723575,,
58,0.325674,,1.043682,,0.6710865,,0.5715023,,0.2609836,,0.7733216,,0.5794502,,0.2443084,,14.34341,,1.29912,,0.01462186,,0.3527533,,1.14905,,0.008667477,,1.966219,,0.04380968,,4.715235,,
59,0.328683,,1.090914,,0.6576596,,0.5675735,,0.2603126,,0.7717843,,0.5686185,,0.2483818,,14.61618,,1.309387,,0.01464131,,0.3453867,,1.01827,,0.0087393,,1.991631,,0.04401759,,4.742908,,
60,0.3312882,,1.13336,,0.6441217,,0.5639988,,0.260691,,0.7696516,,0.5591372,,0.2524765,,14.89005,,1.31731,,0.01466521,,0.3393969,,0.9108377,,0.008811524,,2.010842,,0.04434061,,4.79768,,
