"Country","Species","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","EwE_FG"
"Netherlands","Black seabream",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,4,5,0,"Demersal fish"
"Netherlands","Demersal percomorphs nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Netherlands","European conger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Netherlands","European eel",131,63,42,48,39,36,29,22,40,21,34,20,16,31,17,16,8,6,3,6,"Demersal fish"
"Netherlands","European hake",1,2,1,1,2,1,1,2,1,0,1,0,0,0,0,0,1,2,0,3,"Demersal fish"
"Netherlands","European perch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Netherlands","Finfishes nei",0,0,0,0,0,0,0,0,0,338,0,69,9,20,20,0,0,0,0,0,"Demersal fish"
"Netherlands","Freshwater bream",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,"Demersal fish"
"Netherlands","Greater weever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Netherlands","Grey gurnard",0,0,0,0,0,0,0,0,0,200,99,79,74,61,43,20,36,17,25,52,"Demersal fish"
"Netherlands","Gurnards, searobins nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Netherlands","Ling",0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Netherlands","Mullets nei",0,0,0,0,1,0,0,0,14,30,115,109,103,121,109,107,85,126,106,125,"Demersal fish"
"Netherlands","Porgies, seabreams nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,"Demersal fish"
"Netherlands","Red gurnard",0,0,0,0,0,0,0,0,0,33,1052,50,39,47,39,36,28,26,40,47,"Demersal fish"
"Netherlands","Sea trout",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Netherlands","Tub gurnard",0,0,0,0,0,0,0,0,0,732,0,856,665,750,857,875,1007,755,905,0,"Demersal fish"
"Netherlands","Tusk(=Cusk)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Netherlands","Twaite shad",0,0,0,0,0,0,0,0,0,1,0,8,8,10,8,0,0,1,1,0,"Demersal fish"
