Year,Month,scenario,variable
2024,11,historical,12.47899246
2024,12,historical,9.22262764
2025,1,SSP2-4.5,7.562457397
2025,2,SSP2-4.5,6.296224377
2025,3,SSP2-4.5,6.193009782
2025,4,SSP2-4.5,7.752988804
2025,5,SSP2-4.5,10.8497218
2025,6,SSP2-4.5,14.41424391
2025,7,SSP2-4.5,17.57846779
2025,8,SSP2-4.5,18.83334039
2025,9,SSP2-4.5,17.8880764
2025,10,SSP2-4.5,15.40335348
2025,11,SSP2-4.5,12.29033944
2025,12,SSP2-4.5,9.496572581
2026,1,SSP2-4.5,7.708969006
2026,2,SSP2-4.5,6.767360989
2026,3,SSP2-4.5,6.823887471
2026,4,SSP2-4.5,8.354322456
2026,5,SSP2-4.5,10.83107976
2026,6,SSP2-4.5,14.87995664
2026,7,SSP2-4.5,17.89498965
2026,8,SSP2-4.5,18.74997119
2026,9,SSP2-4.5,17.97856096
2026,10,SSP2-4.5,15.78036156
2026,11,SSP2-4.5,12.4815537
2026,12,SSP2-4.5,9.513439071
2027,1,SSP2-4.5,7.441810963
2027,2,SSP2-4.5,6.428647966
2027,3,SSP2-4.5,6.413721083
2027,4,SSP2-4.5,7.865780446
2027,5,SSP2-4.5,10.76560154
2027,6,SSP2-4.5,14.41959131
2027,7,SSP2-4.5,17.20790863
2027,8,SSP2-4.5,18.43464428
2027,9,SSP2-4.5,17.90193075
2027,10,SSP2-4.5,15.83508499
2027,11,SSP2-4.5,12.83756335
2027,12,SSP2-4.5,9.808355897
2028,1,SSP2-4.5,7.69963615
2028,2,SSP2-4.5,6.649488148
2028,3,SSP2-4.5,6.653752113
2028,4,SSP2-4.5,8.378227195
2028,5,SSP2-4.5,11.20081412
2028,6,SSP2-4.5,14.92069996
2028,7,SSP2-4.5,17.99099256
2028,8,SSP2-4.5,18.92050189
2028,9,SSP2-4.5,18.08315818
2028,10,SSP2-4.5,15.8470866
2028,11,SSP2-4.5,12.62048769
2028,12,SSP2-4.5,9.827770148
2029,1,SSP2-4.5,7.614274758
2029,2,SSP2-4.5,6.584477416
2029,3,SSP2-4.5,6.283963756
2029,4,SSP2-4.5,7.658046156
2029,5,SSP2-4.5,10.39450995
2029,6,SSP2-4.5,14.27413092
2029,7,SSP2-4.5,17.52200756
2029,8,SSP2-4.5,18.42738313
2029,9,SSP2-4.5,17.75537854
2029,10,SSP2-4.5,15.54489558
2029,11,SSP2-4.5,12.34002617
2029,12,SSP2-4.5,9.521024284
2030,1,SSP2-4.5,7.653149937
2030,2,SSP2-4.5,6.60337532
2030,3,SSP2-4.5,6.362469685
2030,4,SSP2-4.5,7.937044045
2030,5,SSP2-4.5,10.92327737
2030,6,SSP2-4.5,14.34665381
2030,7,SSP2-4.5,17.36285474
2030,8,SSP2-4.5,18.76992678
2030,9,SSP2-4.5,18.01674809
2030,10,SSP2-4.5,15.60558159
2030,11,SSP2-4.5,12.43478631
2030,12,SSP2-4.5,9.552689779
2031,1,SSP2-4.5,7.511779799
2031,2,SSP2-4.5,6.539451422
2031,3,SSP2-4.5,6.416810193
2031,4,SSP2-4.5,7.957031756
2031,5,SSP2-4.5,10.79147814
2031,6,SSP2-4.5,14.44675477
2031,7,SSP2-4.5,17.59184666
2031,8,SSP2-4.5,18.81701652
2031,9,SSP2-4.5,18.10674696
2031,10,SSP2-4.5,15.55940918
2031,11,SSP2-4.5,12.41646509
2031,12,SSP2-4.5,9.4256997
2032,1,SSP2-4.5,7.540496258
2032,2,SSP2-4.5,6.478037181
2032,3,SSP2-4.5,6.29554325
2032,4,SSP2-4.5,7.929884743
2032,5,SSP2-4.5,10.79497161
2032,6,SSP2-4.5,14.62873301
2032,7,SSP2-4.5,17.30221073
2032,8,SSP2-4.5,18.63390005
2032,9,SSP2-4.5,18.01619217
2032,10,SSP2-4.5,15.71249014
2032,11,SSP2-4.5,12.56186327
2032,12,SSP2-4.5,9.642261917
2033,1,SSP2-4.5,7.686702576
2033,2,SSP2-4.5,6.610706786
2033,3,SSP2-4.5,6.499019513
2033,4,SSP2-4.5,7.754385276
2033,5,SSP2-4.5,11.14446039
2033,6,SSP2-4.5,14.43105061
2033,7,SSP2-4.5,17.44017345
2033,8,SSP2-4.5,18.6336498
2033,9,SSP2-4.5,17.74674556
2033,10,SSP2-4.5,15.5659705
2033,11,SSP2-4.5,12.62860435
2033,12,SSP2-4.5,9.912707081
2034,1,SSP2-4.5,7.700035395
2034,2,SSP2-4.5,6.578603236
2034,3,SSP2-4.5,6.680474048
2034,4,SSP2-4.5,8.190597964
2034,5,SSP2-4.5,11.1026042
2034,6,SSP2-4.5,14.5479847
2034,7,SSP2-4.5,17.66671348
2034,8,SSP2-4.5,18.99745852
2034,9,SSP2-4.5,18.18955589
2034,10,SSP2-4.5,16.04984241
2034,11,SSP2-4.5,12.76163803
2034,12,SSP2-4.5,9.847788847
2035,1,SSP2-4.5,7.680350563
2035,2,SSP2-4.5,6.607965076
2035,3,SSP2-4.5,6.701495884
2035,4,SSP2-4.5,8.213371548
2035,5,SSP2-4.5,11.20862507
2035,6,SSP2-4.5,14.54178355
2035,7,SSP2-4.5,17.83573468
2035,8,SSP2-4.5,18.8789493
2035,9,SSP2-4.5,18.04414756
2035,10,SSP2-4.5,15.86562098
2035,11,SSP2-4.5,12.63278369
2035,12,SSP2-4.5,9.801008767
2036,1,SSP2-4.5,7.632930329
2036,2,SSP2-4.5,6.407961018
2036,3,SSP2-4.5,6.567327912
2036,4,SSP2-4.5,8.210185986
2036,5,SSP2-4.5,11.44631522
2036,6,SSP2-4.5,15.17792784
2036,7,SSP2-4.5,18.01935829
2036,8,SSP2-4.5,19.34943745
2036,9,SSP2-4.5,18.34419438
2036,10,SSP2-4.5,15.86189675
2036,11,SSP2-4.5,12.81897654
2036,12,SSP2-4.5,9.973219352
2037,1,SSP2-4.5,8.107079736
2037,2,SSP2-4.5,6.71549921
2037,3,SSP2-4.5,6.636785633
2037,4,SSP2-4.5,8.152478349
2037,5,SSP2-4.5,10.95077041
2037,6,SSP2-4.5,14.62777247
2037,7,SSP2-4.5,17.43566757
2037,8,SSP2-4.5,18.81985081
2037,9,SSP2-4.5,18.40767184
2037,10,SSP2-4.5,16.04933053
2037,11,SSP2-4.5,12.85445613
2037,12,SSP2-4.5,10.01390758
2038,1,SSP2-4.5,7.923729847
2038,2,SSP2-4.5,6.801939865
2038,3,SSP2-4.5,6.88543579
2038,4,SSP2-4.5,8.609922033
2038,5,SSP2-4.5,11.43038839
2038,6,SSP2-4.5,14.82306605
2038,7,SSP2-4.5,17.81431581
2038,8,SSP2-4.5,18.93951106
2038,9,SSP2-4.5,18.26227287
2038,10,SSP2-4.5,16.06054173
2038,11,SSP2-4.5,12.74979032
2038,12,SSP2-4.5,9.928183259
2039,1,SSP2-4.5,7.670031386
2039,2,SSP2-4.5,6.436218821
2039,3,SSP2-4.5,6.703819906
2039,4,SSP2-4.5,8.446496218
2039,5,SSP2-4.5,11.50716666
2039,6,SSP2-4.5,14.81412765
2039,7,SSP2-4.5,17.54941513
2039,8,SSP2-4.5,18.97195135
2039,9,SSP2-4.5,18.10352877
2039,10,SSP2-4.5,16.06287616
2039,11,SSP2-4.5,12.87091428
2039,12,SSP2-4.5,9.973076637
2040,1,SSP2-4.5,7.943632456
2040,2,SSP2-4.5,6.95733432
2040,3,SSP2-4.5,6.946650388
2040,4,SSP2-4.5,8.41319086
2040,5,SSP2-4.5,11.20183775
2040,6,SSP2-4.5,15.03549261
2040,7,SSP2-4.5,17.58954054
2040,8,SSP2-4.5,18.89907739
2040,9,SSP2-4.5,18.30329509
2040,10,SSP2-4.5,15.52732437
2040,11,SSP2-4.5,12.34011022
2040,12,SSP2-4.5,9.658906518
2041,1,SSP2-4.5,7.740298328
2041,2,SSP2-4.5,6.7023933
2041,3,SSP2-4.5,6.622991906
2041,4,SSP2-4.5,8.055268462
2041,5,SSP2-4.5,11.01522827
2041,6,SSP2-4.5,14.92127717
2041,7,SSP2-4.5,17.99445702
2041,8,SSP2-4.5,19.19778552
2041,9,SSP2-4.5,18.0592891
2041,10,SSP2-4.5,15.51607587
2041,11,SSP2-4.5,12.35152007
