Year,Month,SST_month,Rownum,SST_ma1y,SST_ma4m
2002,4,8.681430057,172,11.85892808,10.27899909
2002,5,11.04565902,173,11.82931077,12.5144294
2002,6,14.24961243,174,11.8223325,14.912176
2002,7,16.0810161,175,11.86949823,16.58529188
2002,8,18.27241644,176,11.71101218,16.66841746
2002,9,17.73812257,177,11.61397572,15.59158588
2002,10,14.58211473,178,11.54280618,13.2597744
2002,11,11.77368978,179,11.53076183,10.52828996
2002,12,8.945170535,180,11.5634832,8.185620005
2003,1,6.812184781,181,11.65663179,6.735911875
2003,2,5.211434929,182,11.72221382,6.456468148
2003,3,5.974857255,183,11.73376811,7.478703651
2003,4,7.827395627,184,11.70515624,9.836412138
2003,5,10.90112679,185,11.63454857,12.64239762
2003,6,14.64226888,186,11.63316642,15.45039891
2003,7,17.19879919,187,11.64800682,17.19431074
2003,8,19.05940079,188,11.7392924,17.09343659
2003,9,17.87677409,189,11.73229263,15.52533622
2003,10,14.23877228,190,11.77450947,12.9926322
2003,11,10.9263977,191,11.78240343,10.27100608
2003,12,8.928584739,192,11.7418515,8.288028471
2004,1,6.990269619,193,11.65278365,7.029144067
2004,2,6.306861828,194,11.57514111,6.880497284
2004,3,5.890860084,195,11.49578617,7.881893465
2004,4,8.333997603,196,11.48058817,9.844089448
2004,5,10.99585435,197,11.53467193,12.40387068
2004,6,14.15564576,198,11.522253,14.85229384
2004,7,16.12998499,199,11.53748718,16.33445895
2004,8,18.12769028,200,11.49410957,16.30964658
2004,9,16.92451477,201,11.41662732,15.17100104
2004,10,14.05639628,202,11.34040755,12.83396786
2004,11,11.57540284,203,11.26851142,10.39610911
2004,12,8.779557555,204,11.20562249,8.328592667
2005,1,7.173079755,205,11.21094272,6.675010245
2005,2,5.786330518,206,11.10404366,6.334960942
2005,3,4.961073152,207,11.14275453,7.074966187
2005,4,7.419360343,208,11.26511057,8.978628206
2005,5,10.13310074,209,11.37584301,11.78681686
2005,6,13.40097859,210,11.3757321,14.14320217
2005,7,16.19382776,211,11.29447782,15.95718829
2005,8,16.8449016,212,11.22979508,16.48811085
2005,9,17.38904521,213,11.19129683,15.66570194
2005,10,15.52466884,214,11.14735144,13.64903318
2005,11,12.9041921,215,11.14620325,10.85127897
