Year,Month,scenario,variable,rownum
2018,7,historical,17.81598282,307
2018,8,historical,19.29794312,308
2018,9,historical,17.63835335,309
2018,10,historical,14.36976528,310
2018,11,historical,11.70774078,311
2018,12,historical,9.151117325,312
2019,1,historical,7.088950157,313
2019,2,historical,6.134572029,314
2019,3,historical,7.063904762,315
2019,4,historical,8.814171791,316
2019,5,historical,11.314291,317
2019,6,historical,14.60702801,318
2019,7,historical,17.37417221,319
2019,8,historical,18.71311378,320
2019,9,historical,17.51757622,321
2019,10,historical,15.01301765,322
2019,11,historical,11.59742928,323
2019,12,historical,8.873211861,324
2020,1,historical,7.66330719,325
2020,2,historical,6.973277092,326
2020,3,historical,7.012852669,327
2020,4,historical,8.388180733,328
2020,5,historical,11.25397587,329
2020,6,historical,14.40930748,330
2020,7,historical,16.63770294,331
2020,8,historical,18.92661095,332
2020,9,historical,17.61056709,333
2020,10,historical,14.37946129,334
2020,11,historical,11.97118473,335
2020,12,historical,9.332306862,336
2021,1,historical,6.851955414,337
2021,2,historical,5.12219429,338
2021,3,historical,5.721496582,339
2021,4,historical,7.120631695,340
2021,5,historical,9.748437881,341
2021,6,historical,14.06567669,342
2021,7,historical,16.54363823,343
2021,8,historical,17.49016571,344
2021,9,historical,17.22283363,345
2021,10,historical,15.13332558,346
2021,11,historical,12.32955837,347
2021,12,historical,8.892771721,348
2022,1,historical,7.685877323,349
2022,2,historical,6.775377274,350
2022,3,historical,7.286589146,351
2022,4,historical,8.617494583,352
2022,5,historical,11.62366772,353
2022,6,historical,14.74354172,354
2022,7,historical,17.64821625,355
2022,8,historical,19.56302643,356
2022,9,historical,18.6157074,357
2022,10,historical,15.57048893,358
2022,11,historical,13.3444252,359
2022,12,historical,9.513949394,360
2023,1,historical,7.970965862,361
2023,2,historical,6.909663677,362
2023,3,historical,6.785986423,363
2023,4,historical,8.636415482,364
2023,5,historical,11.21925545,365
2023,6,historical,14.62217236,366
2023,7,historical,17.09449577,367
2023,8,historical,17.91104507,368
2023,9,historical,18.47374344,369
2023,10,historical,16.05213928,370
2023,11,historical,12.23676395,371
2023,12,historical,9.063727379,372
2024,1,historical,7.370977879,373
2024,2,historical,7.0357728,374
2024,3,historical,7.933332443,375
2024,4,historical,9.558338165,376
2024,5,historical,12.16653347,377
2024,6,historical,14.61301517,378
2024,7,historical,16.78367996,379
2024,8,historical,18.63516998,380
2024,9,historical,17.79010963,381
2024,10,historical,15.01714325,382
2024,11,historical,12.47899246,383
2024,12,historical,9.22262764,384
2025,1,SSP1-2.6,7.757210114,385
2025,2,SSP1-2.6,6.654051007,386
2025,3,SSP1-2.6,6.792842155,387
2025,4,SSP1-2.6,8.391736378,388
2025,5,SSP1-2.6,11.20751573,389
2025,6,SSP1-2.6,14.7781338,390
2025,7,SSP1-2.6,17.79977315,391
2025,8,SSP1-2.6,18.91979764,392
2025,9,SSP1-2.6,18.05984599,393
2025,10,SSP1-2.6,15.87679468,394
2025,11,SSP1-2.6,12.76953431,395
2025,12,SSP1-2.6,9.72162263,396
2026,1,SSP1-2.6,7.682853022,397
2026,2,SSP1-2.6,6.47257615,398
2026,3,SSP1-2.6,6.458909554,399
2026,4,SSP1-2.6,7.853589111,400
2026,5,SSP1-2.6,10.75359768,401
2026,6,SSP1-2.6,14.90098729,402
2026,7,SSP1-2.6,17.9187431,403
2026,8,SSP1-2.6,18.79440546,404
2026,9,SSP1-2.6,17.76092767,405
2026,10,SSP1-2.6,15.52055896,406
2026,11,SSP1-2.6,12.43537798,407
2026,12,SSP1-2.6,9.696565461,408
2027,1,SSP1-2.6,7.578105463,409
2027,2,SSP1-2.6,6.428512477,410
2027,3,SSP1-2.6,6.39747159,411
2027,4,SSP1-2.6,8.023609455,412
2027,5,SSP1-2.6,10.9915659,413
2027,6,SSP1-2.6,14.527387,414
2027,7,SSP1-2.6,17.54872333,415
2027,8,SSP1-2.6,18.97522292,416
2027,9,SSP1-2.6,18.03942666,417
2027,10,SSP1-2.6,15.40105751,418
2027,11,SSP1-2.6,12.36554814,419
2027,12,SSP1-2.6,9.582747953,420
2028,1,SSP1-2.6,7.53579983,421
2028,2,SSP1-2.6,6.46669025,422
2028,3,SSP1-2.6,6.593240423,423
2028,4,SSP1-2.6,7.970145953,424
2028,5,SSP1-2.6,11.18392747,425
2028,6,SSP1-2.6,14.39060179,426
2028,7,SSP1-2.6,17.36129497,427
2028,8,SSP1-2.6,18.89803773,428
2028,9,SSP1-2.6,18.00736819,429
2028,10,SSP1-2.6,15.61646615,430
2028,11,SSP1-2.6,12.42849095,431
2028,12,SSP1-2.6,9.459783799,432
2029,1,SSP1-2.6,7.181982249,433
2029,2,SSP1-2.6,6.001636702,434
2029,3,SSP1-2.6,6.148770646,435
2029,4,SSP1-2.6,7.815533184,436
2029,5,SSP1-2.6,10.84827038,437
